Criterion,Accuracy,Precision,Recall,F1-Score
Gini Index,0.81,0.8383233532934131,0.9271523178807947,0.8805031446540881
Information Gain (Entropy),0.775,0.8486842105263158,0.8543046357615894,0.8514851485148515
